id	KSGS1	KSGS2	KSGS5	KSGS6	KSGS1_GB	KSGS2_GB	KSGS5_GB	KSGS6_GB	TR_young	TR_old	TR_young_log	TR_old_log
Ttll6	7	9	7	3	273	249	252	352	0.030651341	0.0165562914	-1.5135505203	-1.7810369386
Gramd1a	21	22	21	21	1178	1449	1315	1221	0.0163684812	0.0165615142	-1.7859916172	-1.7808999588
Cyp26b1	4	15	11	21	314	451	1315	617	0.0248366013	0.016563147	-1.6049078342	-1.7808571438
Trim66	9	3	8	9	561	396	411	615	0.012539185	0.0165692008	-1.9017306917	-1.7806984394
Gnat2	21	5	1	5	216	219	215	147	0.0597701149	0.0165745856	-1.223515909	-1.7805573201
Dcx	4	2	8	2	312	221	265	338	0.0112570356	0.0165837479	-1.9485759586	-1.7803173121
Fam117a	5	4	3	4	219	174	176	246	0.0229007634	0.0165876777	-1.6401500409	-1.7802144109
Zkscan7	6	5	6	12	558	864	568	517	0.0077355837	0.0165898618	-2.1115069112	-1.7801572331
Gm28591	1	1	3	8	388	261	312	351	0.0030816641	0.0165912519	-2.5112147011	-1.7801208432
Caps2	1	2	8	1	311	183	224	318	0.0060728745	0.0166051661	-2.2166056942	-1.7797567771
Aanat	3	3	3	7	218	217	325	277	0.0137931034	0.0166112957	-1.8603380066	-1.7795964913
RP24-315I19.1	3	4	1	4	146	96	126	175	0.0289256198	0.0166112957	-1.538717326	-1.7795964913
Rhbdl2	8	8	7	4	356	262	284	378	0.0258899676	0.0166163142	-1.5868684924	-1.7794653043
Slc16a4	21	11	11	7	675	722	622	461	0.0229062276	0.0166204986	-1.6400464278	-1.7793559515
Zdhhc18	15	21	31	19	1165	1363	1747	1261	0.0142405063	0.0166223404	-1.8464745688	-1.7793078276
Gm29514	6	3	5	8	464	286	351	431	0.012	0.0166240409	-1.920818754	-1.7792634008
D131143K22Rik	11	26	6	16	1136	849	586	737	0.0186397985	0.0166288738	-1.729558787	-1.7791371634
Mllt11	6	14	21	18	953	1211	1387	958	0.0092421442	0.0166311301	-2.0342272608	-1.77907824
Sptbn4	25	18	17	17	1174	818	918	1125	0.0215863454	0.0166421929	-1.6658208785	-1.7787894496
Prss12	11	8	3	15	597	618	538	543	0.0156378601	0.0166512488	-1.805822677	-1.7785531889
Slc5a8	2	15	5	6	358	217	291	369	0.0295652174	0.0166666667	-1.5292189233	-1.7781512504
A431148G15Rik	8	9	2	4	182	161	166	194	0.0495626822	0.0166666667	-1.3048451987	-1.7781512504
Gm29443	13	25	31	9	1454	1917	1432	966	0.0112726194	0.0166805671	-1.9479751559	-1.7777891874
Tmem255b	11	3	8	11	355	273	528	611	0.0222929936	0.0166812994	-1.6518316081	-1.7777701231
Ankdd1b	7	6	7	11	514	527	492	587	0.0124879923	0.0166821131	-1.9035073772	-1.7777489396
Asb15	11	19	6	7	411	341	363	416	0.039893617	0.0166880616	-1.3990965859	-1.7775941054
Nova2	31	16	17	8	779	747	881	617	0.0307994758	0.0166889186	-1.5114566757	-1.7775718047
C131173E24Rik	6	4	11	24	1226	866	882	1212	0.0047801147	0.0167144222	-2.3205616802	-1.776908633
Kndc1	2	5	3	12	454	372	413	484	0.0084745763	0.016722408	-2.0718820073	-1.776701184
Pla2g5	4	3	3	15	545	462	445	631	0.0069513406	0.0167286245	-2.1579314305	-1.7765397662
Pmp22	8	27	11	6	427	519	554	462	0.0369978858	0.0167322835	-1.4318230921	-1.7764447866
Shcbp1	13	3	5	3	269	221	211	267	0.0326530612	0.0167364017	-1.4860760974	-1.7763379096
